TT1,TT2,TT3,TT4,TT5,TT6,TT7,TT8,TT9,TT10,TT11,TT12
13,0.163055555555556,8,18.7611111111111,1,0.0172718618251054,0.0223734147921874,,0,0,0,
13,0.166944444444444,8,18.7611111111111,1,0.0200190657769304,0.0262427103582339,,0,0,0,
13,0.102777777777778,7,18.6583333333333,1,0.000959364078667854,0.000971952235490142,,0,0,0,
13,0.195,8,19.0361111111111,1,0.0277098614506927,0.0236799301781252,,0,0,0,
13,0.189166666666667,8,18.9833333333333,2,0.0231074091489219,0.0213684029568506,,0,0,0,
13,0.133333333333333,8,18.8576923076923,2,0.00720647222788769,0.0071461631028418,,0,0,0,
13,0.114444444444444,7,18.7097222222222,1,0.00539083557951483,0.005577154494122,,0,0,0,
13,0.270555555555556,8,19.3694444444444,2,0.05370419543282,0.0387835389640446,,0,0.125,0.0528169014084507,
13,0.155555555555556,8,18.8444444444444,2,0.0240145297995426,0.0284130730881633,,0,0.125,0.0625,
13,0.168611111111111,8,18.9277777777778,2,0.0216420938725822,0.0146982980917999,,0,0.125,0.0368852459016393,
13,0.179444444444444,8,19.0064102564103,2,0.0203709949409781,0.0209201147829306,,0,0,0,
13,0.155833333333333,7,18.7291666666667,2,0.016097262786117,0.0221466259372396,,0,0,0,
13,0.114722222222222,8,18.7097222222222,2,0.006376048236191,0.00438700889964428,,0,0,0,
13,0.146388888888889,8,18.8597222222222,1,0.015023347093456,0.0118647597889475,,0,0.125,0.00705645161290323,
13,0.316111111111111,8,19.6230769230769,2,0.0678165425323403,0.0817527538646677,,0,0.125,0.00286885245901639,
13,0.139444444444444,8,18.9166666666667,1,0.00935276177566926,0.00841895769693603,,0,0,0,
13,0.269444444444444,8,19.4461538461538,3,0.0476002109704641,0.0296852064902607,,0,0.25,0.128725165562914,
13,0.220277777777778,9,19.1410256410256,2,0.0328198258539853,0.0319557398077254,,0,0,0,
13,0.1125,7,18.6583333333333,1,0.000964652380624268,0.0013607331296862,,0,0,0,
13,0.276944444444444,8,19.4320512820513,2,0.0507356337006004,0.0597426640747945,,0,0,0,
